alpha,score,sharpe,sortino,drawdown
IWM_Alpha_9,0.20394646989730267,0.09002515990375659,0.12672457143307228,-0.5669365516470721
GLD_Alpha_8,0.20101800278952126,0.035557182068327337,0.05181371606268985,-0.42916328285538874
TLT_Alpha_5,0.20055032636734,0.019747885932447785,0.030156046355772223,-0.387985473041236
VNQ_Alpha_12,0.19937559254798756,0.006158479244013756,0.005799099896404468,-0.3494250970617976
GLD_Alpha_1,0.19662132469816335,0.014417485613359475,0.020602722828546964,-0.3844216213191485
DBC_Alpha_2,0.19448838086905745,0.06918264673854072,0.10236375818038233,-0.5463126842682451
VNQ_Alpha_13,0.19357180526951462,-0.010955449253939147,-0.008548112662057395,-0.3316052707676417
VNQ_Alpha_7,0.19085287925467972,0.06327495777206632,0.08460662955226197,-0.5327969757327513
DBC_Alpha_0,0.18170696978104978,0.011456966975311764,0.01693898863722439,-0.4265250453341408
SPY_Alpha_16,0.16914403215078744,-0.0670427846527156,-0.026636002249178243,-0.32016017771124283
EEM_Alpha_11,0.16745680895058346,0.05274594412293915,0.07700072359659807,-0.5891392859252387
VNQ_Alpha_14,0.16708155617656847,-0.03855425859719121,-0.02457067948678358,-0.36708512179506647
EFA_Alpha_8,0.16313768771394022,-0.0009620403993624046,-0.0013013494341295097,-0.4536236376535866
EFA_Alpha_0,0.16105454365857524,0.052926158524904614,0.07427408404921257,-0.6079938165538346
EFA_Alpha_10,0.1558666662420293,0.02207460918002794,0.03172310447757768,-0.5416003625775172
SPY_Alpha_8,0.15584269380176213,0.035847367849018305,0.049373594527796244,-0.5776944389872802
IWM_Alpha_10,0.15447428739298408,0.04226290023041154,0.0615093947082159,-0.6029456370388178
IWM_Alpha_13,0.15301832178050417,-0.006591979473228645,-0.005414215000519296,-0.4757354064334952
SPY_Alpha_15,0.15285163755709652,-0.109030553416624,-0.05003285769482488,-0.2950876125593547
IWM_Alpha_14,0.15065030238106863,-0.01124300211515756,-0.0075140434755122795,-0.47532761243404886
QQQ_Alpha_14,0.1502389008922785,-0.04889898980736854,-0.028872526441176206,-0.40513248417473735
USO_Alpha_0,0.14910029098753158,0.0981677503942509,0.14649186353914123,-0.7803812274397038
VNQ_Alpha_17,0.14345727801061733,-0.1807403072800245,-0.05779387014653522,-0.22302812677804096
SPY_Alpha_14,0.14116217288971936,-0.09980315676511374,-0.05794239539210024,-0.33844615262201694
IWM_Alpha_17,0.1409943780624265,-0.15623225766041468,-0.0524942384252536,-0.2692148244861051
SPY_Alpha_9,0.1391066836636208,-0.023099698694045906,-0.03220226050905018,-0.4733091956868193
SPY_Alpha_17,0.13308926122605705,-0.1755154398546328,-0.060044932829299055,-0.26230360994433366
EEM_Alpha_17,0.1327764829633497,-0.12746894552057975,-0.042959498282026616,-0.3444936311460347
SPY_Alpha_7,0.1305219173763944,0.01652533409515371,0.022647211376621092,-0.6096079322488447
QQQ_Alpha_16,0.12627853571394382,-0.09926928262461224,-0.03811909929345291,-0.40859340482725137
EEM_Alpha_5,0.11927153983432265,0.02025943203698985,0.028643007238057336,-0.658083783839635
IWM_Alpha_1,0.11728328807252521,-0.002422081582965257,-0.0036163336900275436,-0.6022099306242681
GLD_Alpha_6,0.10612742695500851,-0.04869487537522227,-0.06876103734760036,-0.5125543723020749
USO_Alpha_3,0.10579217871105065,0.09161606559363969,0.13224956154425327,-0.901763719965604
EFA_Alpha_11,0.09983416909813927,-0.06030201529896382,-0.08644693539362057,-0.5003698138806301
USO_Alpha_1,0.09712675126523294,0.06945076850219713,0.10151559388161467,-0.8703607810004343
TLT_Alpha_10,0.09676227808740828,-0.03645679360982334,-0.053501241814088635,-0.5753487730814526
QQQ_Alpha_15,0.09359905186695743,-0.1430024109173289,-0.06553225496442665,-0.43180102425594336
EFA_Alpha_2,0.09173096232361924,-0.054526549123916274,-0.07513444566996645,-0.5463936144194144
EEM_Alpha_10,0.0892727492239542,-0.014034389485135232,-0.020541251806426648,-0.6631703981335457
USO_Alpha_4,0.08803968854319033,0.0605027541340595,0.08779199646795287,-0.8749967068360645
TLT_Alpha_16,0.08703479469292325,-0.2566147538577778,-0.11912710483350179,-0.2486039077130502
GLD_Alpha_2,0.08452892543147542,-0.03844451344680997,-0.053946449816929413,-0.6130311141490725
EEM_Alpha_2,0.08376973999600563,-0.04914624800241292,-0.07109254209051823,-0.5841466605862458
VNQ_Alpha_16,0.0739866057272282,-0.24724017057196368,-0.09589857810055079,-0.32782584204607024
VNQ_Alpha_1,0.06928186847078768,-0.0877724730554932,-0.1252368035993127,-0.5267936707574041
EFA_Alpha_4,0.06696760111223682,-0.0742549906113188,-0.09998203790695022,-0.5777859709038353
EEM_Alpha_14,0.06207159469441925,-0.17417789219670549,-0.11579319961198731,-0.4450642951443412
EEM_Alpha_13,0.05432386807802281,-0.1607993303204544,-0.1302554035563405,-0.47426592908964427
TLT_Alpha_15,0.05235085145540244,-0.27111917334048896,-0.1548324299506827,-0.3091725007439905
EEM_Alpha_15,0.05189516452548845,-0.22639748385547598,-0.11347417751105379,-0.4116786289300167
USO_Alpha_11,0.05111514251466791,0.023254828795154954,0.030949845295776903,-0.8915724753070905
EEM_Alpha_1,0.046634665285830934,-0.05851427852932769,-0.08638294924622851,-0.6801491284285648
EEM_Alpha_16,0.046252825390164426,-0.24117056895997255,-0.10163561829957915,-0.42262753845324275
QQQ_Alpha_0,0.044602795008510304,-0.07801143170372957,-0.10456845384820602,-0.6427403205184535
VNQ_Alpha_2,0.043614663146033614,-0.09316343802168785,-0.13147333803411357,-0.5989265341168573
QQQ_Alpha_10,0.042768140459877604,-0.0740230916969938,-0.11219461817668876,-0.6465474580277275
SPY_Alpha_12,0.03655112837342547,-0.1884927000773625,-0.1623333817794051,-0.46450592353935993
VNQ_Alpha_15,0.0354085571354576,-0.23556189474985184,-0.11292346445899382,-0.45496548542301174
IWM_Alpha_11,0.02098421312059262,-0.12730916775223217,-0.18107259712456075,-0.5792344688038209
IWM_Alpha_2,0.01681974156654109,-0.09337250647804314,-0.13842166300162978,-0.6810158564725091
EFA_Alpha_1,0.016518441202009196,-0.08835838003131552,-0.12377619666438552,-0.7033511592871631
QQQ_Alpha_1,0.01624773970990681,-0.07432020134536146,-0.09939134997250312,-0.7473559158673255
EEM_Alpha_4,0.015352551205994519,-0.09838325441702825,-0.1403662883289191,-0.6772808684283949
QQQ_Alpha_13,0.013437447912764716,-0.20867989934665995,-0.14723999334798168,-0.5297286478139227
SPY_Alpha_13,0.012510240649008963,-0.24062098510312688,-0.1683965054809144,-0.46907471221821984
EFA_Alpha_5,0.009001083137206947,-0.09971076571694173,-0.13234805287470008,-0.7047006490453545
EEM_Alpha_3,0.007036296759813598,-0.12583226437832556,-0.17588721080868183,-0.6328821141541721
VNQ_Alpha_5,0.005373551406103988,-0.134309666781349,-0.17480647129801474,-0.6282021349731732
EFA_Alpha_7,-0.0023044176814347728,-0.10275262815097605,-0.13875753075662503,-0.7319203573135228
VNQ_Alpha_6,-0.005822503925530284,-0.11203247275663135,-0.14519894498007985,-0.7248327710961793
QQQ_Alpha_12,-0.006472820158661505,-0.18108322633681154,-0.15701911200067278,-0.6231126534124501
QQQ_Alpha_9,-0.01306305044967998,-0.1342240037072851,-0.19650137542551793,-0.6680767877970352
EFA_Alpha_12,-0.014712637709972554,-0.23340805095504236,-0.21627144627707456,-0.5215599448161108
QQQ_Alpha_8,-0.016504240359853817,-0.14593043549057425,-0.21039678186990857,-0.6500434386755052
EEM_Alpha_12,-0.01682316550735427,-0.17955292588149196,-0.17580476945404672,-0.6408685477284782
USO_Alpha_9,-0.03891081411247551,-0.08850078802944994,-0.11918155473589861,-0.8925201082664198
USO_Alpha_8,-0.059897390929063404,-0.09481610587484755,-0.12674982711926822,-0.9464866681444797
IWM_Alpha_4,-0.06320349992264142,-0.1813215278945296,-0.2593975653915272,-0.709518730491238
IWM_Alpha_3,-0.07383402094649895,-0.17233593452825766,-0.24779500377922958,-0.76853715333809
EFA_Alpha_17,-0.0812557641790467,-0.4830330243661548,-0.17025340311093773,-0.4565551116643448
SPY_Alpha_10,-0.09609602526196177,-0.24594957381855134,-0.3505496435893644,-0.6418376755257731
USO_Alpha_6,-0.09918793309095501,-0.14277553426569572,-0.18970965863651307,-0.950549405979076
IWM_Alpha_12,-0.09938973366502722,-0.2745494859669256,-0.27087831419180947,-0.6943548167357139
