feature,importance
QQQ_Alpha_8,-0.016504240359853817
EEM_Alpha_12,-0.01682316550735427
USO_Alpha_9,-0.03891081411247551
USO_Alpha_8,-0.059897390929063404
IWM_Alpha_4,-0.06320349992264142
IWM_Alpha_3,-0.07383402094649895
EFA_Alpha_17,-0.0812557641790467
SPY_Alpha_10,-0.09609602526196177
USO_Alpha_6,-0.09918793309095501
IWM_Alpha_12,-0.09938973366502722
IWM_Alpha_0,-0.10146213565107798
DBC_Alpha_6,-0.10350013228567147
EFA_Alpha_13,-0.10351658746509752
EFA_Alpha_3,-0.11136020284517263
TLT_Alpha_14,-0.11367728458421925
USO_Alpha_10,-0.11410037045115307
EFA_Alpha_14,-0.11766652890933593
EFA_Alpha_16,-0.11807638105852927
GLD_Alpha_9,-0.1213883684775741
GLD_Alpha_11,-0.1360631048218806
EFA_Alpha_15,-0.1441146568667514
VNQ_Alpha_0,-0.14980640839702644
DBC_Alpha_8,-0.14981820380095007
DBC_Alpha_9,-0.15988778652739982
VNQ_Alpha_8,-0.16488626062424386
DBC_Alpha_11,-0.16497735977030442
SPY_Alpha_0,-0.16683855661839994
DBC_Alpha_10,-0.16835441380032698
DBC_Alpha_7,-0.1703495858936854
EEM_Alpha_0,-0.18981942677613317
VNQ_Alpha_3,-0.20507259100885133
TLT_Alpha_0,-0.22035529411910668
GLD_Alpha_10,-0.22853417990767705
IWM_Alpha_5,-0.23200533132234183
USO_Alpha_7,-0.25528660760586047
TLT_Alpha_1,-0.25877568780467863
GLD_Alpha_7,-0.2609156312833817
SPY_Alpha_11,-0.2627643026743599
TLT_Alpha_13,-0.2915657346176903
VNQ_Alpha_4,-0.3128203312665727
QQQ_Alpha_11,-0.37538462599249717
TLT_Alpha_12,-0.4334007943659227
